,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
59383,20050901X01356,Accident,IAD05CA124,2005-08-21,"READINGTON, NJ",United States,40.583611,-74.735,,,Non-Fatal,Substantial,Airplane,N6159X,cessna,421C,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,8.0,VMC,Landing,Probable Cause,28-06-2006
59407,20050831X01340,Accident,CHI05CA244,2005-08-25,"DRUMMOND ISLAND, MI",United States,46.009444,-83.743889,Y66,Drummond Island,Non-Fatal,Substantial,Airplane,N77DN,cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-12-2005
59457,20051006X01591,Accident,DEN05CA134,2005-09-03,"ALBUQUERQUE, NM",United States,35.040277,-106.609167,ABQ,Albuquerque International Sunp,Non-Fatal,Substantial,Airplane,N505EA,eclipse aviation,HXB,No,2.0,Turbo Fan,Part 91: General Aviation,,Other Work Use,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,20-12-2005
59482,20051005X01585,Accident,CHI05CA258,2005-09-07,"FERTILE, MN",United States,47.551944,-96.291944,D14,Fertile Municipal Airport,Non-Fatal,Substantial,Airplane,N291ND,piper,PA-44-180,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-12-2005
59495,20050921X01505,Accident,CHI05CA262,2005-09-09,"BOSCOBEL, WI",United States,43.160278,-90.675556,,,Non-Fatal,Substantial,Airplane,N75SM,cessna,310Q,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-12-2005
59503,20051011X01614,Accident,DFW05CA233,2005-09-10,"NEW BRAUNFELS, TX",United States,29.704444,-98.042222,,,Non-Fatal,Substantial,Airplane,N349MC,israel aircraft industries,1124,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,,,0.0,0.0,0.0,10.0,VMC,Landing,Probable Cause,31-01-2006
59535,20050930X01557,Accident,LAX05CA304,2005-09-15,"PORTERVILLE, CA",United States,36.038056,-119.071389,PTV,Porterville,Non-Fatal,Substantial,Airplane,N127F,beech,95-B55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-12-2005
59544,20051011X01608,Accident,ATL05CA162,2005-09-16,"GREENVILLE, AL",United States,31.853611,-86.6175,KPRN,Mac Crenshaw Memorial Airport,Non-Fatal,Substantial,Airplane,N287RR,piper,PA-34-200,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,2.0,1.0,VMC,Takeoff,Probable Cause,28-06-2006
59584,20050927X01540,Incident,LAX05IA312,2005-09-21,"Los Angeles, CA",United States,33.9425,-118.408056,KLAX,Los Angeles International,Incident,Minor,Airplane,N536JB,airbus industrie,A320,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,,"Jet Blue Airways, Inc.",0.0,0.0,0.0,146.0,VMC,Takeoff,Probable Cause,25-11-2008
59587,20051025X01725,Accident,DFW05CA247,2005-09-21,"Mexia, TX",United States,31.639722,-96.514722,LXY,Mexia-Limestone County Airport,Non-Fatal,Destroyed,Airplane,N909KF,"smith, ted aerostar",601P,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,5.0,1.0,VMC,Takeoff,Probable Cause,31-01-2006
59644,20060202X00155,Accident,NYC06CA053,2005-10-03,"PROVIDENCE, RI",United States,41.723889,-71.428056,PVD,Theodore Francis Green,Non-Fatal,Substantial,Airplane,N72BG,beech,E-55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-04-2006
59657,20051108X01803,Accident,MIA06CA003,2005-10-05,"JACKSONVILLE, FL",United States,30.336389,-81.514444,KCRG,Craig Municipal Airport,Non-Fatal,Substantial,Airplane,N4UT,beech,58,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Ram Air Freight Inc,0.0,0.0,0.0,1.0,IMC,Landing,Probable Cause,31-01-2006
59735,20051130X01907,Accident,DFW06CA017,2005-10-19,"HOUSTON, TX",United States,29.645277,-95.278889,HOU,WILLIAM P HOBBY,Non-Fatal,Substantial,Airplane,N564BR,hawker siddeley,125-700,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,,Kaleidoscope Charter Services Corp.,0.0,0.0,0.0,10.0,VMC,Approach,Probable Cause,28-02-2006
59756,20051123X01878,Accident,DFW06LA024,2005-10-22,"San Antonio, TX",United States,29.533611,-98.469723,SAT,San Antonio International,Non-Fatal,Unknown,Airplane,N679MG,boeing,727-225,No,3.0,Turbo Fan,Part 91: General Aviation,,Positioning,,0.0,1.0,0.0,4.0,VMC,Taxi,Probable Cause,25-04-2014
59764,20051128X01899,Accident,LAX06CA028,2005-10-26,"SACRAMENTO, CA",United States,38.6675,-121.400556,MCC,Mc Clellan Airfield,Non-Fatal,Substantial,Airplane,N888DV,learjet,25D,No,2.0,Turbo Jet,Part 91: General Aviation,,Positioning,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-02-2006
59771,20051207X01947,Accident,LAX06CA020,2005-10-27,"PRESCOTT, AZ",United States,34.654444,-112.419445,PRC,Ernest A. Love Field Airport,Non-Fatal,Substantial,Airplane,N8154H,piper,PA-44-180,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-02-2006
59828,20051128X01895,Accident,ATL06CA013,2005-11-07,"GREER, SC",United States,34.885833,-82.2175,,,Non-Fatal,Substantial,Airplane,N3873X,beech,BE-76,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,2.0,1.0,VMC,Approach,Probable Cause,28-02-2006
59833,20051124X01887,Accident,NYC06FA027,2005-11-08,"Manchester, NH",United States,42.948333,-71.44,MHT,Manchester,Non-Fatal,Destroyed,Airplane,N7801Q,embraer,110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,,,0.0,1.0,0.0,1.0,VMC,Climb,Probable Cause,01-10-2009
59884,20051215X01977,Accident,DFW06CA032,2005-11-21,"ANAHUAC, TX",United States,29.768611,-94.657222,T00,Chambers County Airport,Non-Fatal,Substantial,Airplane,N15145,piper,PA-34-200,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-02-2006
59893,20051215X01978,Accident,DFW06CA033,2005-11-23,"BIXBY, OK",United States,36.043611,-95.985277,RVS,RICHARD LLOYD JONES JR,Non-Fatal,Substantial,Airplane,N859DA,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,28-02-2006
59918,20090528X34729,Incident,ENG06RA004,2005-12-01,"Kagoshima, Japan",Japan,,,RJFK,Kagoshima Airport,Incident,Minor,Airplane,,boeing,767-300B,No,2.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,1.0,,,Foreign,29-06-2009
59929,20051230X02034,Accident,CHI06CA042,2005-12-07,"PIERRE, SD",United States,44.382778,-100.286111,PIR,Pierre Regional,Non-Fatal,Substantial,Airplane,N8403F,cessna,310Q,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Air Max Airlines,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-03-2006
59933,20060113X00074,Accident,CHI06CA054,2005-12-08,"ROCKFORD, IL",United States,42.195277,-89.097222,RFD,Greater Rockford,Non-Fatal,Substantial,Airplane,N2196B,piper,PA-44-180,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-03-2006
59950,20060105X00007,Accident,MIA06CA029,2005-12-12,"DAYTONA BEACH, FL",United States,29.179723,-81.058056,KDAB,Daytona Beach International,Non-Fatal,Substantial,Airplane,N56825,piper,PA-34-200,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,28-03-2006
59963,20060113X00063,Accident,NYC06CA043,2005-12-15,"STATE COLLEGE, PA",United States,40.849166,-77.848611,UNV,University Park Airport,Non-Fatal,Substantial,Airplane,N62497,piper,PA-23-250,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-03-2006
60041,20060206X00169,Accident,NYC06CA063,2005-12-30,"Baltimore, MD",United States,30.166667,-76.683333,,,Non-Fatal,Unknown,Airplane,N885RR,gulfstream aerospace,G-200,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0.0,1.0,0.0,3.0,VMC,Taxi,Probable Cause,25-04-2006
60047,20060113X00068,Accident,ATL06CA031,2006-01-01,"PHENIX CITY, AL",United States,32.421111,-85.248055,,,Non-Fatal,Substantial,Airplane,N4370P,piper,PA-23-160,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,1.0,IMC,Cruise,Probable Cause,28-03-2006
60058,20060109X00033,Incident,LAX06IA076,2006-01-02,"Santa Maria, CA",United States,35.0525,-120.121667,SBP,San Luis County Regional,Incident,Unknown,Airplane,N390AE,saab-scania ab (saab),SF340B+,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,,"American Eagle Airlines, Inc.",0.0,0.0,0.0,28.0,IMC,Climb,Probable Cause,30-04-2009
60074,20060202X00152,Accident,LAX06CA085,2006-01-08,"VAN NUYS, CA",United States,34.216389,-118.494444,VNY,VAN NUYS,Non-Fatal,Substantial,Airplane,N4495T,piper,Seneca,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,2.0,2.0,VMC,Landing,Probable Cause,25-04-2006
60100,20060216X00206,Accident,CHI06CA068,2006-01-15,"GRIFFITH, IN",United States,41.519723,-87.401111,,,Non-Fatal,Substantial,Airplane,N141DE,cessna,310Q,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006
60125,20060209X00184,Accident,ATL06CA037,2006-01-21,"HINESVILLE, GA",United States,31.796111,-81.641111,2J2,Liberty County Airport,Non-Fatal,Substantial,Airplane,N6697N,beech,BE-76,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,VMC,Go-around,Probable Cause,25-04-2006
60134,20060202X00149,Accident,SEA06MA047,2006-01-24,"Carlsbad, CA",United States,33.126945,-117.288889,KCRQ,McClellan-Palomar Airport,Fatal(4),Destroyed,Airplane,N86CE,cessna,560,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,4.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,24-09-2014
60169,20060327X00353,Accident,ATL06CA040,2006-02-01,"BURLINGTON, NC",United States,36.048333,-79.474723,KBUY,Burlington-Alamance Regional,Non-Fatal,Substantial,Airplane,N3581C,piper,PA-31-350,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-05-2006
60171,20090617X33239,Incident,ENG06WA009,2006-02-01,"Istanbul, Turkey",Turkey,,,IST,"Istanbul, Turkey",Incident,Minor,Airplane,,boeing,747,No,,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,1.0,,,Foreign,29-06-2009
60219,20060314X00300,Accident,LAX06CA119,2006-02-16,"KINGMAN, AZ",United States,35.259444,-113.938055,KIGM,Kingman Airport,Non-Fatal,Substantial,Airplane,N2096C,beech,95,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006
60338,20060404X00387,Accident,NYC06CA080,2006-03-20,"MORRISTOWN, NJ",United States,40.799166,-74.414722,MMU,Morristown Municipal,Non-Fatal,Substantial,Airplane,N13878,piper,PA23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Positioning,,0.0,1.0,0.0,1.0,VMC,Approach,Probable Cause,28-06-2006
60339,20060413X00438,Accident,DFW06CA089,2006-03-20,"SHREVEPORT, LA",United States,32.441111,-93.821945,KSHV,Shreveport Regional Airport,Non-Fatal,Substantial,Airplane,N662MW,aero commander,AC50,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,"Central Air Southwest, Inc.",0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,29-08-2006
60349,20060330X00368,Incident,DEN06IA051,2006-03-21,"Denver, CO",United States,39.861389,-104.673056,DEN,DENVER INTL,Incident,Minor,Airplane,N574AA,mcdonnell douglas,DC-9-82,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,,American Airlines Inc,0.0,0.0,0.0,138.0,VMC,Landing,Probable Cause,27-10-2015
60389,20060511X00557,Accident,LAX06CA140,2006-03-30,"VICTORVILLE, CA",United States,34.816667,-117.383333,,,Non-Fatal,Substantial,Airplane,N7086Z,piper,PA-31-310,No,2.0,Reciprocating,Part 91: General Aviation,,Public Aircraft,,0.0,0.0,0.0,4.0,VMC,Climb,Probable Cause,29-08-2006
60404,20060620X00777,Accident,LAX06CA167,2006-04-02,"LINCOLN, CA",United States,38.909167,-121.351389,KLHM,Lincoln Regional,Non-Fatal,Substantial,Airplane,N5096Q,cessna,310N,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-08-2006
60409,20060504X00511,Accident,DCA06FA033,2006-04-04,"MEMPHIS, TN",United States,,,KMEM,Memphis International Airport,Non-Fatal,Substantial,Airplane,N386FE,mcdonnell douglas,DC10,No,3.0,Turbo Fan,Part 121: Air Carrier,NSCH,,Fedex Express,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,27-04-2011
60453,20060504X00510,Accident,MIA06LA086,2006-04-12,"BROOKSVILLE, FL",United States,28.470834,-82.455556,X05,Pilot Country Airport,Non-Fatal,Substantial,Airplane,N6981L,cessna,310K,No,,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,25-01-2011
60475,20060504X00504,Accident,NYC06CA098,2006-04-15,"FINLEYVILLE, PA",United States,40.245833,-80.012222,G05,Finleyville Airpark,Non-Fatal,Substantial,Airplane,N93AC,cessna,310Q,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,29-08-2006
60499,20060525X00631,Accident,SEA06CA087,2006-04-19,"BILLINGS, MT",United States,45.807778,-108.542777,BIL,Billings Logan International,Non-Fatal,Substantial,Airplane,N954EA,cessna,310R,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,03-10-2006
60566,20060603X00679,Accident,LAX06CA152,2006-04-30,"PHOENIX, AZ",United States,33.691666,-112.076111,DVT,Phoenix Deer Valley,Non-Fatal,Substantial,Airplane,N449PA,piper,PA-44-180,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,29-08-2006
60583,20081219X65319,Accident,ENG07WA003,2006-05-03,"Sochi, Russia",Russia,,,URSS,"Sochi, Russia",Fatal(113),Destroyed,Airplane,,airbus,A320,No,2.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,113.0,0.0,0.0,1.0,IMC,,Foreign,
60594,20060602X00677,Accident,SEA06CA097,2006-05-05,"COEUR D'ALENE, ID",United States,47.774167,-116.819723,COE,Coeur d'Alene Air Terminal,Non-Fatal,Substantial,Airplane,N726RD,rupp,Rutan Defiant,Yes,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-08-2006
60619,20060609X00727,Accident,NYC06CA113,2006-05-10,"ALLENTOWN, PA",United States,40.570278,-75.488055,1N9,Queen City Municipal Airport,Non-Fatal,Substantial,Airplane,N1788H,cessna,310C,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-08-2006
60628,20060612X00730,Accident,CHI06CA129,2006-05-11,"DONGOLA, IL",United States,37.425,-89.036666,,,Non-Fatal,Substantial,Airplane,N8585Y,piper,PA-30,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,29-08-2006
60639,20060531X00657,Accident,LAX06CA171,2006-05-14,"LONG BEACH, CA",United States,33.818611,-118.152222,LGB,Daugherty Field,Non-Fatal,Substantial,Airplane,N5799X,cessna,320,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,29-08-2006
60650,20060623X00808,Accident,ATL06CA080,2006-05-16,"MURFREESBORO, TN",United States,35.880556,-86.380556,KMBT,Murphreesboro Municipal,Non-Fatal,Substantial,Airplane,N545TG,cessna,525,No,2.0,Turbo Fan,Part 91: General Aviation,,Business,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,03-10-2006
60714,20060629X00856,Accident,ANC06CA063,2006-05-26,"WILLOW, AK",United States,61.683333,-150.083333,,,Non-Fatal,Substantial,Airplane,N141R,grumman,G-44,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,31-10-2006
60730,20120502X05030,Incident,ENG06WA041,2006-05-28,"Dubai, United Arab Emirates, United Arab Emirates",United Arab Emirates,,,DBX,Dubai International Airport,Incident,Minor,Airplane,,airbus,A330,,2.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,221.0,,,Foreign,08-05-2012
60772,20060719X00965,Accident,DFW06CA153,2006-06-02,"MENA, AR",United States,34.545277,-94.202778,MEZ,Mena Intermountain Municipal,Non-Fatal,Substantial,Airplane,N950RM,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-10-2006
60915,20060630X00859,Accident,MIA06FA120,2006-06-25,"Fort Pierce, FL",United States,27.473611,-80.336666,FPR,St. Lucie County International,Fatal(1),Destroyed,Airplane,N316PR,mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,1.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,22-12-2009
60925,20060727X01036,Accident,LAX06CA217,2006-06-27,"EL CAJON, CA",United States,32.8325,-116.976389,KSEE,Gillespie Field,Non-Fatal,Substantial,Airplane,N6720T,beech,76,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,03-10-2006
60979,20060829X01253,Accident,DFW06CA175,2006-07-05,"SAN ANTONIO, TX",United States,29.533611,-98.468611,,,Non-Fatal,Substantial,Airplane,N2745F,cessna,C340A,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Unknown,Probable Cause,31-10-2006
61023,20060815X01175,Accident,CHI06CA181,2006-07-11,"INDIANAPOLIS, IN",United States,39.716667,-86.3,IND,Indianapolis International,Non-Fatal,Substantial,Airplane,N40978,piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,31-10-2006
61046,20060725X01013,Accident,LAX06FA238,2006-07-15,"VAN NUYS, CA",United States,34.209722,-118.49,VNY,Van Nuys Airport,Non-Fatal,Substantial,Airplane,N554CL,learjet,55,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,,Clay Lacy Aviation,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,22-06-2009
61139,20090909X35523,Incident,ENG06RA025,2006-07-27,"Barcelona, Spain, Spain",Spain,,,BCN,El Prat De Llobregat,Incident,Minor,Airplane,,canadair,CL600-2B19-200,No,,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,1.0,,,Foreign,10-03-2011
61145,20060808X01115,Accident,DCA06FA058,2006-07-28,"MEMPHIS, TN",United States,,,KMEM,Memphis International,Non-Fatal,Substantial,Airplane,N391FE,boeing,MD-10-10F,No,3.0,Turbo Fan,Part 121: Air Carrier,NSCH,,Federal Express Corp,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,10-07-2009
61149,20060923X01384,Accident,LAX06CA268,2006-07-29,"ONTARIO, CA",United States,34.055833,-117.601111,ONT,Ontario International Airport,Non-Fatal,Substantial,Airplane,N805PR,cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,29-11-2006
61151,20060803X01086,Accident,CHI06FA210,2006-07-29,"SULLIVAN, MO",United States,38.233889,-91.173611,UUV,SULLIVAN REGIONAL,Fatal(6),Substantial,Airplane,N203E,de havilland,DHC-6-100,No,2.0,Turbo Prop,Part 91: General Aviation,,Skydiving,,6.0,2.0,0.0,1.0,VMC,Takeoff,Probable Cause,29-01-2009
61174,20090617X33156,Incident,ENG06WA030,2006-08-02,"Shenzhen, China, China",China,,,SZX,Shenzhen Baoan Airport,Incident,Unknown,Airplane,,airbus,A320,No,2.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,1.0,,,Foreign,20-10-2009
61193,20060822X01221,Accident,NYC06MA192,2006-08-04,"Pownal, VT",United States,42.805,-73.157222,DDH,William H Morse,Fatal(1),Destroyed,Airplane,N59BA,embraer,110P1,No,2.0,Turbo Prop,Part 91: General Aviation,,Positioning,,1.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,28-12-2008
61210,20061004X01450,Accident,SEA06CA171,2006-08-07,"GREENACRES, WA",United States,47.608611,-117.180556,WN92,Sky Meadows Airpark,Non-Fatal,Substantial,Airplane,N6549A,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,28-12-2006
61242,20060907X01311,Accident,NYC06CA201,2006-08-13,"PAWTUCKET, RI",United States,41.920834,-71.491389,SFC,North Central State Airport,Non-Fatal,Substantial,Airplane,N75AP,beech,B100,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,29-11-2006
61286,20061005X01466,Accident,NYC06CA206,2006-08-20,"LINCOLN PARK, NJ",United States,40.9475,-74.314444,N07,Lincoln Park Airport,Non-Fatal,Substantial,Airplane,N19TP,piper,PA-34-200T,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-12-2006
61296,20061006X01479,Accident,LAX06CA285,2006-08-22,"LODI, CA",United States,38.204167,-121.27,1O3,Lodi Linds,Non-Fatal,Substantial,Airplane,N205TC,beech,99,No,2.0,Turbo Prop,Part 91: General Aviation,,Skydiving,,0.0,1.0,0.0,13.0,VMC,Maneuvering,Probable Cause,28-12-2006
61329,20060906X01297,Accident,LAX06FA277A,2006-08-28,"SMITH, NV",United States,38.844722,-119.497222,,,Non-Fatal,Substantial,Airplane,N879QS,raytheon,Hawker 800XP,No,2.0,Turbo Fan,Part 91 Subpart K: Fractional,,,,0.0,0.0,3.0,3.0,VMC,Descent,Probable Cause,21-05-2013
61331,20060915X01347,Accident,DFW06CA204,2006-08-28,"POST, TX",United States,33.203611,-101.341389,5F1,Post-Garza County Municipal,Non-Fatal,Substantial,Airplane,N9254F,ron burleigh,Air Cam,Yes,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,29-11-2006
61332,20060914X01335,Accident,NYC06FA209,2006-08-28,"Whick, KY",United States,37.401944,-83.356111,K20,Wendell H. Ford,Fatal(7),Destroyed,Airplane,N408JC,cessna,401A,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,7.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,27-04-2015
61344,20060906X01291,Accident,DEN06MA119,2006-09-01,"Argyle, FL",United States,30.685555,-86.033611,,,Fatal(1),Destroyed,Airplane,N6569L,mitsubishi,MU-2B-35,No,2.0,Turbo Prop,Part 91: General Aviation,,Positioning,,1.0,0.0,0.0,1.0,IMC,Descent,Probable Cause,27-10-2015
61370,20061031X01578,Accident,DFW06CA206,2006-09-05,"HONDO, TX",United States,29.359444,-99.176667,HDO,HONDO MUNI,Non-Fatal,Substantial,Airplane,N944C,beech,B200,No,2.0,Turbo Prop,Part 91: General Aviation,,Positioning,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,31-01-2007
61383,20061015X01521,Accident,NYC06LA222B,2006-09-08,"NEW YORK, NY",United States,40.777223,-73.8725,LGA,La Guardia Airport,Non-Fatal,Substantial,Airplane,N864RW,embraer,EMB-170,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,,,0.0,0.0,0.0,179.0,VMC,Taxi,Probable Cause,11-01-2016
61384,20061015X01521,Accident,NYC06LA222A,2006-09-08,"New York, NY",United States,40.777223,-73.8725,LGA,La Guardia Airport,Non-Fatal,Minor,Airplane,C-GJTA,airbus industrie,A319-112,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,0.0,179.0,VMC,Taxi,Probable Cause,11-01-2016
61411,20060929X01431,Accident,CHI06CA265,2006-09-13,"DAYTON, OH",United States,39.9025,-84.219445,,,Non-Fatal,Substantial,Airplane,N434TW,piper,PA-34-220T,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,28-12-2006
61428,20061205X01731,Accident,MIA06CA139,2006-09-17,"FORT LAUDERDALE, FL",United States,26.206389,-80.173611,FXE,Fort Lauderdale Executive,Non-Fatal,Substantial,Airplane,N428RM,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,26-02-2007
61476,20061031X01587,Accident,LAX06CA299,2006-09-27,"SAFFORD, AZ",United States,32.853056,-109.634722,KSAD,Safford Regional,Non-Fatal,Substantial,Airplane,N9412Y,beech,95-55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Approach,Probable Cause,31-01-2007
61510,20061113X01636,Accident,NYC07CA004,2006-10-06,"ANNAPOLIS, MD",United States,38.942777,-76.568334,ANP,LEE,Non-Fatal,Substantial,Airplane,N600U,beech,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,31-01-2007
61549,20061114X01669,Accident,SEA07CA008,2006-10-12,"ONTARIO, OR",United States,44.020556,-117.013611,ONO,Ontario Municipal,Non-Fatal,Substantial,Airplane,N94LL,beech,E-55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,1.0,VMC,Cruise,Probable Cause,26-02-2007
